Event,recorded_time,repair_time,meter_name,leak_reason,replacement_type,replacement_location,branch
Pipe,2025-05-30T00:00:00,2025-05-13T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-29T00:00:00,MỸ ĐỨC 5,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-01T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-03-31T00:00:00,2025-03-30T00:00:00,AN THÁI 1,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-03T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-20T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-05-30T00:00:00,2025-05-03T00:00:00,CHIẾN THẮNG 4,Other/unknown,,,
Pipe,2025-05-30T00:00:00,2025-05-12T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-03-02T00:00:00,2025-02-28T00:00:00,AN THÁI 7,Other/unknown,,,
Pipe,2025-09-25T00:00:00,2025-09-22T00:00:00,MỸ ĐỨC 1,Other/unknown,,,
Pipe,2025-07-09T00:00:00,2025-07-07T00:00:00,MỸ ĐỨC 9,Other/unknown,,,
Pipe,2025-03-26T00:00:00,2025-03-22T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-08-20T00:00:00,2025-08-19T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-03-26T00:00:00,2025-03-24T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-02-07T00:00:00,2025-02-07T00:00:00,MỸ ĐỨC 6,Other/unknown,,,
Pipe,2025-08-08T00:00:00,2025-08-03T00:00:00,MỸ ĐỨC 7,Other/unknown,,,
Pipe,2025-03-31T00:00:00,2025-03-26T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-08-29T00:00:00,2025-08-25T00:00:00,MỸ ĐỨC 6,Other/unknown,,,
Pipe,2025-01-20T00:00:00,2025-01-16T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-06-25T00:00:00,2025-06-20T00:00:00,THUẬN THIÊN 3,Other/unknown,,,
Pipe,2025-07-01T00:00:00,2025-06-28T00:00:00,CHIẾN THẮNG 5,Other/unknown,,,
Pipe,2025-01-20T00:00:00,2025-01-15T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-11T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-04-29T00:00:00,2025-04-21T00:00:00,MỸ ĐỨC 7,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-27T00:00:00,THUẬN THIÊN 3,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-14T00:00:00,MỸ ĐỨC 8,Other/unknown,,,
Pipe,2025-06-13T00:00:00,2025-06-09T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-07-28T00:00:00,2025-07-27T00:00:00,MỸ ĐỨC 5,Other/unknown,,,
Pipe,2025-05-30T00:00:00,2025-04-29T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-05-30T00:00:00,2025-05-09T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-28T00:00:00,DU LỄ 4,Other/unknown,,,
Pipe,2025-07-21T00:00:00,2025-07-17T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-08-12T00:00:00,2025-08-11T00:00:00,NGŨ PHÚC 3,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-12T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-06-26T00:00:00,2025-06-26T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-01-14T00:00:00,2025-01-08T00:00:00,MỸ ĐỨC 8,Other/unknown,,,
Pipe,2025-02-21T00:00:00,2025-02-17T00:00:00,NGŨ PHÚC 2,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-17T00:00:00,AN THÁI 4,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-06T00:00:00,DU LỄ 4,Other/unknown,,,
Pipe,2025-02-12T00:00:00,2025-01-05T00:00:00,MỸ ĐỨC 7,Other/unknown,,,
Pipe,2025-03-25T00:00:00,2025-03-18T00:00:00,THUẬN THIÊN 6,Other/unknown,,,
Pipe,2025-02-04T00:00:00,2025-01-25T00:00:00,THUẬN THIÊN 3,Other/unknown,,,
Pipe,2025-04-29T00:00:00,2025-04-22T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-08-12T00:00:00,2025-08-09T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-03-26T00:00:00,2025-03-25T00:00:00,MỸ ĐỨC 7,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-29T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-02-07T00:00:00,2025-02-07T00:00:00,CHIẾN THẮNG 3,Other/unknown,,,
Pipe,2025-07-09T00:00:00,2025-07-08T00:00:00,DU LỄ 2,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-15T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-03-31T00:00:00,2025-03-30T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-02-10T00:00:00,2025-02-09T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-02-24T00:00:00,2025-02-22T00:00:00,CHIẾN THẮNG 1,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-13T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-08-08T00:00:00,2025-08-02T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-03-31T00:00:00,2025-03-26T00:00:00,THUẬN THIÊN 6,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-05T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-03-17T00:00:00,2025-03-03T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-28T00:00:00,MỸ ĐỨC 7,Other/unknown,,,
Pipe,2025-05-30T00:00:00,2025-05-13T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-08-12T00:00:00,2025-08-12T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-03T00:00:00,AN THÁI 4,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-05T00:00:00,CHIẾN THẮNG 4,Other/unknown,,,
Pipe,2025-03-17T00:00:00,2025-03-04T00:00:00,AN THÁI 7,Other/unknown,,,
Pipe,2025-06-25T00:00:00,2025-06-24T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-03-26T00:00:00,2025-03-19T00:00:00,AN THÁI 1,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-14T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-08-08T00:00:00,2025-08-05T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-07-11T00:00:00,2025-07-10T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-05-16T00:00:00,2025-05-08T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-07-17T00:00:00,2025-07-16T00:00:00,AN THÁI 4,Other/unknown,,,
Pipe,2025-07-09T00:00:00,2025-07-03T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-01-14T00:00:00,2025-01-10T00:00:00,CHIẾN THẮNG 4,Other/unknown,,,
Pipe,2025-07-01T00:00:00,2025-06-01T00:00:00,An Thọ 5,Other/unknown,,,
Pipe,2025-01-20T00:00:00,2025-01-19T00:00:00,CHIẾN THẮNG 5,Other/unknown,,,
Pipe,2025-05-30T00:00:00,2025-05-11T00:00:00,MỸ ĐỨC 8,Other/unknown,,,
Pipe,2025-08-12T00:00:00,2025-08-08T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-07-30T00:00:00,2025-07-28T00:00:00,MỸ ĐỨC 3,Other/unknown,,,
Pipe,2025-07-09T00:00:00,2025-07-06T00:00:00,MỸ ĐỨC 7,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-14T00:00:00,MỸ ĐỨC 7,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-02T00:00:00,THUẬN THIÊN 6,Other/unknown,,,
Pipe,2025-02-27T00:00:00,2025-02-26T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-18T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-03-31T00:00:00,2025-03-27T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-06-25T00:00:00,2025-06-20T00:00:00,THUẬN THIÊN 5,Other/unknown,,,
Pipe,2025-02-21T00:00:00,2025-02-20T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-03-26T00:00:00,2025-03-25T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-08T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-03-26T00:00:00,2025-03-19T00:00:00,MỸ ĐỨC 7,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-30T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-07-09T00:00:00,2025-07-08T00:00:00,AN THÁI 1,Other/unknown,,,
Pipe,2025-09-25T00:00:00,2025-09-24T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-15T00:00:00,MỸ ĐỨC 8,Other/unknown,,,
Pipe,2025-06-13T00:00:00,2025-06-08T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-06-13T00:00:00,2025-06-11T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-27T00:00:00,NGŨ PHÚC 2,Other/unknown,,,
Pipe,2025-08-29T00:00:00,2025-08-21T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-09T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-06-13T00:00:00,2025-06-04T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-05-16T00:00:00,2025-05-15T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-08-08T00:00:00,2025-08-03T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-10T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-01-14T00:00:00,2025-01-10T00:00:00,MỸ ĐỨC 7,Other/unknown,,,
Pipe,2025-07-31T00:00:00,2025-07-31T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-07-17T00:00:00,2025-07-15T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-05-30T00:00:00,2025-05-08T00:00:00,CHIẾN THẮNG 1,Other/unknown,,,
Pipe,2025-06-30T00:00:00,2025-06-27T00:00:00,AN THÁI 6,Other/unknown,,,
Pipe,2025-06-17T00:00:00,2025-06-16T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-02-17T00:00:00,2025-02-14T00:00:00,MỸ ĐỨC 2,Other/unknown,,,
Pipe,2025-05-30T00:00:00,2025-05-10T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-06-13T00:00:00,2025-06-04T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-05T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-07-17T00:00:00,2025-07-16T00:00:00,HỮU BẰNG 1,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-21T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-04T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-07T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-03-31T00:00:00,2025-03-29T00:00:00,MỸ ĐỨC 8,Other/unknown,,,
Pipe,2025-07-11T00:00:00,2025-07-10T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-06-16T00:00:00,2025-06-15T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-07-31T00:00:00,2025-08-07T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-08T00:00:00,MỸ ĐỨC 6,Other/unknown,,,
Pipe,2025-06-17T00:00:00,2025-06-17T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-03-26T00:00:00,2025-03-23T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-16T00:00:00,MỸ ĐỨC 8,Other/unknown,,,
Pipe,2025-06-30T00:00:00,2025-06-26T00:00:00,THUẬN THIÊN 3,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-18T00:00:00,AN THÁI 7,Other/unknown,,,
Pipe,2025-02-24T00:00:00,2025-02-22T00:00:00,MỸ ĐỨC 7,Other/unknown,,,
Pipe,2025-01-14T00:00:00,2025-01-09T00:00:00,MỸ ĐỨC 1,Other/unknown,,,
Pipe,2025-06-17T00:00:00,2025-06-16T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-02-21T00:00:00,2025-02-20T00:00:00,AN THÁI 7,Other/unknown,,,
Pipe,2025-07-30T00:00:00,2025-07-30T00:00:00,MỸ ĐỨC 2,Other/unknown,,,
Pipe,2025-01-06T00:00:00,2025-01-03T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-23T00:00:00,NGŨ PHÚC 1,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-17T00:00:00,MỸ ĐỨC 9,Other/unknown,,,
Pipe,2025-08-29T00:00:00,2025-08-20T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-08-08T00:00:00,2025-08-07T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-24T00:00:00,MỸ ĐỨC 3,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-11T00:00:00,THUẬN THIÊN 6,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-17T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-07-09T00:00:00,2025-07-02T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-01-03T00:00:00,2025-01-02T00:00:00,HỮU BẰNG 1,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-07T00:00:00,MỸ ĐỨC 1,Other/unknown,,,
Pipe,2025-08-29T00:00:00,2025-08-24T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-04T00:00:00,DU LỄ 3,Other/unknown,,,
Pipe,2025-03-26T00:00:00,2025-03-26T00:00:00,NGŨ PHÚC 3,Other/unknown,,,
Pipe,2025-05-30T00:00:00,2025-05-08T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-08T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-05-30T00:00:00,2025-05-12T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-08-20T00:00:00,2025-08-14T00:00:00,AN THÁI 7,Other/unknown,,,
Pipe,2025-04-02T00:00:00,2025-03-31T00:00:00,THUẬN THIÊN 2,Other/unknown,,,
Pipe,2025-07-31T00:00:00,2025-07-30T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-07-17T00:00:00,2025-07-15T00:00:00,NGŨ PHÚC 1,Other/unknown,,,
Pipe,2025-01-20T00:00:00,2025-01-20T00:00:00,MỸ ĐỨC 6,Other/unknown,,,
Pipe,2025-02-07T00:00:00,2025-02-06T00:00:00,DU LỄ 2,Other/unknown,,,
Pipe,2025-03-17T00:00:00,2025-03-03T00:00:00,MỸ ĐỨC 9,Other/unknown,,,
Pipe,2025-04-29T00:00:00,2025-04-25T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-02T00:00:00,AN THÁI 4,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-18T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-05T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-07-17T00:00:00,2025-07-16T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-18T00:00:00,TÂN VIÊN 1,Other/unknown,,,
Pipe,2025-04-28T00:00:00,2025-04-18T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-07-31T00:00:00,2025-07-31T00:00:00,MỸ ĐỨC 2,Other/unknown,,,
Pipe,2025-04-29T00:00:00,2025-04-21T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-03-31T00:00:00,2025-03-27T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-01-14T00:00:00,2025-01-12T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-01-14T00:00:00,2025-01-11T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-07-01T00:00:00,2025-06-30T00:00:00,THUẬN THIÊN 3,Other/unknown,,,
Pipe,2025-07-24T00:00:00,2025-07-23T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-09-25T00:00:00,2025-09-23T00:00:00,NGŨ PHÚC 3,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-10T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-07-25T00:00:00,2025-07-24T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-01-02T00:00:00,2025-01-01T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-03-31T00:00:00,2025-03-29T00:00:00,AN THÁI 7,Other/unknown,,,
Pipe,2025-06-13T00:00:00,2025-06-06T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-24T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-02-17T00:00:00,2025-02-13T00:00:00,AN THÁI 7,Other/unknown,,,
Pipe,2025-10-01T00:00:00,2025-09-26T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-08-04T00:00:00,2025-07-25T00:00:00,CHIẾN THẮNG 1,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-20T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-03-31T00:00:00,2025-03-29T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-08-20T00:00:00,2025-08-14T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-03-17T00:00:00,2025-03-03T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-22T00:00:00,THUẬN THIÊN 4,Other/unknown,,,
Pipe,2025-03-26T00:00:00,2025-03-25T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-05-16T00:00:00,2025-05-16T00:00:00,CHIẾN THẮNG 5,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-07T00:00:00,NGŨ PHÚC 1,Other/unknown,,,
Pipe,2025-06-13T00:00:00,2025-06-12T00:00:00,MỸ ĐỨC 1,Other/unknown,,,
Pipe,2025-09-25T00:00:00,2025-09-24T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-16T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-10T00:00:00,CHIẾN THẮNG 3,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-17T00:00:00,CHIẾN THẮNG 5,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-22T00:00:00,MỸ ĐỨC 9,Other/unknown,,,
Pipe,2025-07-15T00:00:00,2025-07-14T00:00:00,AN THÁI 2,Other/unknown,,,
Pipe,2025-09-22T00:00:00,2025-09-21T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-09T00:00:00,NGŨ PHÚC 3,Other/unknown,,,
Pipe,2025-06-16T00:00:00,2025-06-15T00:00:00,TÂN VIÊN 4,Other/unknown,,,
Pipe,2025-04-29T00:00:00,2025-04-22T00:00:00,AN THÁI 4,Other/unknown,,,
Pipe,2025-02-27T00:00:00,2025-02-26T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-21T00:00:00,THUẬN THIÊN 3,Other/unknown,,,
Pipe,2025-06-25T00:00:00,2025-06-21T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-07-11T00:00:00,2025-07-10T00:00:00,THUẬN THIÊN 3,Other/unknown,,,
Pipe,2025-02-21T00:00:00,2025-02-18T00:00:00,AN THÁI 5,Other/unknown,,,
Pipe,2025-04-29T00:00:00,2025-04-21T00:00:00,AN THÁI 7,Other/unknown,,,
Pipe,2025-04-02T00:00:00,2025-03-31T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-06-25T00:00:00,2025-06-23T00:00:00,THUẬN THIÊN 3,Other/unknown,,,
Pipe,2025-06-17T00:00:00,2025-06-16T00:00:00,MỸ ĐỨC 1,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-14T00:00:00,NGŨ PHÚC 3,Other/unknown,,,
Pipe,2025-06-13T00:00:00,2025-06-05T00:00:00,AN THÁI 4,Other/unknown,,,
Pipe,2025-04-29T00:00:00,2025-04-22T00:00:00,AN THÁI 7,Other/unknown,,,
Pipe,2025-02-24T00:00:00,2025-02-22T00:00:00,TÂN VIÊN 3,Other/unknown,,,
Pipe,2025-02-07T00:00:00,2025-02-07T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-02-17T00:00:00,2025-02-11T00:00:00,TÂN VIÊN 2,Other/unknown,,,
Pipe,2025-09-19T00:00:00,2025-09-08T00:00:00,NGŨ PHÚC 4,Other/unknown,,,
Pipe,2025-04-29T00:00:00,2025-04-22T00:00:00,CHIẾN THẮNG 1,Other/unknown,,,
Pipe,2025-08-08T00:00:00,2025-08-05T00:00:00,CHIẾN THẮNG 1,Other/unknown,,,
Pipe,2025-04-29T00:00:00,2025-04-23T00:00:00,THUẬN THIÊN 3,Other/unknown,,,
Pipe,2025-03-18T00:00:00,2025-03-12T00:00:00,THUẬN THIÊN 1,Other/unknown,,,
Pipe,2025-03-26T00:00:00,2025-03-20T00:00:00,AN THÁI 4,Other/unknown,,,
Pipe,2025-04-29T00:00:00,2025-04-19T00:00:00,MỸ ĐỨC 9,Other/unknown,,,
Pipe,2025-06-13T00:00:00,2025-06-12T00:00:00,CHIẾN THẮNG 4,Other/unknown,,,
Pipe,2025-01-09T00:00:00,2025-01-07T00:00:00,CHIẾN THẮNG 4,Other/unknown,,,
Pipe,2025-01-22T00:00:00,2025-01-21T00:00:00,NGŨ PHÚC 2,Other/unknown,,,
Pipe,2025-06-04T00:00:00,2025-05-22T00:00:00,CHIẾN THẮNG 4,Other/unknown,,,
